"","High","Low","Close","Rets","ATR","EWM_FAST","EWM_SLOW","MACD","signal","diffMACD","EMA_10","EMA_20","EMA_50","SMA_10","SMA_20","SMA_50","slopeClose","slopeMACD","ADX","RSI","Stoch","BinaryRets","BinaryRets_1","BinaryRets_2","label"
"X2005.02.18",1.896885,1.890216,1.894513,-0.000265433115076676,0.0141667114297001,1.88261317057357,1.8819252471672,0.000687923406371693,-0.00295560757246254,0.00364353097883423,-0.0031783142783623,-0.00389734453394707,-0.000577565551624683,-0.00431552854669017,-0.00520871910610193,0.00112256653780721,-0.00373628261397381,0.000584075559779141,16.5008789336632,56.5794722740291,0.644324486429745,0,1,0,1
"X2005.02.21",1.899696,1.891289,1.896813,0.00121403231331756,0.0137553034704359,1.8847977597161,1.88302804367333,0.00176971604276566,-0.0020105428494169,0.00378025889218256,-0.00227867240179358,-0.00335762447902205,-0.000485515293021141,-0.00359911435142142,-0.00464206003924298,0.000701002143467693,-0.00982548380328858,0.000328143990590398,16.1255016697838,57.565144743229,0.657071488045682,1,0,1,1
"X2005.02.22",1.912814,1.895483,1.911205,0.00758746381430323,0.0140107103654047,1.88886041206747,1.88511522562346,0.00374518644401145,-0.000859396990731231,0.00460458343474268,-0.00118342533891994,-0.002681166295876,-0.000319605420980647,-0.00253976745368754,-0.0039581697727382,0.000336749445412887,-0.0132841185384238,0.000413826710959651,16.736347325255,63.1952824331131,0.907160579308755,1,1,0,0
"X2005.02.23",1.912412,1.904798,1.906396,-0.00251621359299503,0.0135538024821615,1.89155819482632,1.88669157928098,0.00486661554534051,0.000285805516483118,0.0045808100288574,-8.34179054180371e-05,-0.00196232993004586,-0.000116224206615111,-0.00130423962835546,-0.00328036378305225,-1.00763373413137e-05,-0.0109899575259872,0.000332701519105294,17.3035611481926,60.3156021751472,0.209876543209875,0,1,1,1
"X2005.02.24",1.913985,1.902406,1.907487,0.000572284037524183,0.0134127451620071,1.89400878023765,1.88823198081572,0.00577679942193354,0.0013840042975732,0.00439279512436034,0.000982076154100432,-0.00122526999176211,0.000114874759210326,-7.25982641889278e-06,-0.00264618799303563,-0.000319838117706102,-0.00155189875413989,0.000229907938721906,17.5540852581015,60.7525461491345,0.438811641765255,1,0,1,1
"X2005.02.25",1.919902,1.907305,1.919607,0.00635390962035397,0.0133544776504352,1.8979469678934,1.89055605631085,0.00739091158254723,0.00258538575456801,0.00480552582797922,0.00214731895927258,-0.000404681270399313,0.000400209536596087,0.00140555409049916,-0.00199624584424157,-0.000594628365938275,0.000669099900149043,0.000183874554048842,18.2183463108541,65.3206824598201,0.976581725807737,1,1,0,0
"X2005.02.28",1.926114,1.918797,1.919202,-0.000210980685108977,0.0129232292468327,1.90121697283288,1.8926779780656,0.00853899476727271,0.00377610755710895,0.00476288721016376,0.00330944183345442,0.000447097399855166,0.000719377584857916,0.00275185611554325,-0.00132466158698991,-0.000847498351123725,-0.00548074512143061,5.41323349435237e-05,19.2501277703479,65.0482241248509,0.0553505535055334,0,1,1,0
"X2005.03.01",1.922412,1.917509,1.918686,-0.000268861745663137,0.0123503557292018,1.90390451547397,1.89460449820889,0.0093000172650799,0.00488088949870314,0.00441912776637676,0.00439863736647723,0.00129023262511466,0.00105587325859211,0.00396182201988782,-0.000642294871627602,-0.00105243228993143,-0.00796333166509671,4.6727560841799e-06,20.0430876037206,64.6780672837042,0.240057107893118,0,0,1,0
"X2005.03.02",1.920086,1.908688,1.913107,-0.00290771913695102,0.0122823303199731,1.90532028232413,1.89597505389712,0.00934522842700769,0.00577375728436405,0.00357147114264364,0.00529801755930095,0.00205737508243781,0.00138094601029468,0.00509527311850664,1.29707301135484e-05,-0.00120386335549382,-0.00778174292035803,-0.00020290459971904,19.7190549926126,60.6588988980683,0.38769959642042,0,0,0,0
"X2005.03.03",1.913912,1.906396,1.906905,-0.00324184690140166,0.0119418781542607,1.9055640850435,1.89678467953437,0.00877940550912193,0.00637488692931563,0.0024045185798063,0.00593099718654113,0.00269756845640773,0.00167108167691536,0.00602007984114523,0.000623996250222836,-0.0013358868586496,0.00051049995565283,-0.000599342984622852,19.1633680559746,56.458697578324,0.0677221926556795,0,0,0,1
"X2005.03.04",1.927005,1.905815,1.923299,0.00859717710111412,0.0126024582860993,1.90829253349834,1.89874870327257,0.00954383022577421,0.00700867558860734,0.00253515463716686,0.00658787592094714,0.00334959338682358,0.00197981691412551,0.00690567052308548,0.00129507098819766,-0.00142185869891525,0.00554874305338207,-0.000647007342973327,19.6516172634401,63.6280512783512,0.825106182161398,1,0,0,0
"X2005.03.07",1.924891,1.912009,1.914902,-0.0043659358217313,0.0126224255513779,1.9093093744986,1.8999452437709,0.00936413072770104,0.00747976661642608,0.00188436411127495,0.00709264952217512,0.00392240646690715,0.00226939784799122,0.00766511199157902,0.0020329988200788,-0.00150493363132948,0.00101309965339442,-0.000610584305690064,20.1049915275152,58.3302424963997,0.22457692904829,0,1,0,1
"X2005.03.08",1.932404,1.913583,1.928603,0.0071549353439497,0.0130651808691366,1.91227762457574,1.90206804052861,0.0102095840471288,0.00802573010256663,0.00218385394456217,0.00765936489034852,0.00452118528407111,0.00258077769893779,0.00831155175189075,0.00288589214910161,-0.00155061782474427,-0.00146139895963563,-0.000329538874540575,21.0336578355662,63.6486434474128,0.798044737261572,1,0,1,0
"X2005.03.09",1.931882,1.920897,1.922707,-0.00305713513875076,0.0129165965213411,1.91388214387178,1.9035968523413,0.0102852915304736,0.00847764238814803,0.00180764914232561,0.008136806097644,0.0050701477837285,0.00288291549625292,0.00885341935040407,0.0037745898610243,-0.00156109087856219,-0.00332958769583781,-0.000154503955527196,21.8959908358994,60.0941154352681,0.16477014110149,0,1,0,1
"X2005.03.10",1.930688,1.921193,1.923817,0.000577311051553964,0.0126721967698168,1.91541058327612,1.90509464105676,0.0103159422193566,0.00884530235438975,0.00147063986496686,0.00853301266522811,0.00556974725378832,0.0031744067402962,0.00930733363014638,0.00465003690186374,-0.00155150605316527,-0.00334188755897416,-0.000220574447757725,22.696728621923,60.5408918530248,0.276355976829929,1,0,1,1
"X2005.03.11",1.928417,1.917104,1.926411,0.00134836109671553,0.0125751112862584,1.91710295507979,1.90667363060811,0.0104293244716798,0.00916210677784775,0.00126721769383202,0.0088777966300375,0.00603256413168274,0.00345891331799752,0.00961117491905963,0.0055083645047794,-0.00151575377055326,0.0047344646250962,-0.000194750688985961,22.8575809200419,61.6222377194823,0.822681870414574,1,1,0,0
"X2005.03.14",1.927785,1.910585,1.913802,-0.00654533222661213,0.0129054604800971,1.91659511583675,1.90720165797048,0.00939345786627266,0.00920837699553273,0.000185080870739925,0.00897155321844389,0.00635264924926273,0.00369164055518478,0.00969662122895962,0.00622423867225144,-0.00145581504462587,0.00522765237844247,-0.000453797728463257,22.1572378731523,53.8913124367966,0.187034883720931,0,1,1,0
"X2005.03.15",1.924706,1.91179,1.913217,-0.000305674254703495,0.0129062133029473,1.91607540570802,1.90764723886155,0.0084281668464663,0.00905233496571945,-0.000624168119253147,0.00887275569626615,0.00655031759185355,0.00387738668425464,0.00960943618709826,0.00678562910349304,-0.00134500225314857,0.00515875423664193,-0.000614919274232837,21.5069193296119,53.5556066260008,0.110483121709496,0,0,1,1
"X2005.03.16",1.929012,1.91179,1.927302,0.0073619458744095,0.0132144837813082,1.91780257406063,1.90910314709403,0.0086994269666012,0.0089817533658958,-0.0002823263992946,0.00884124138178161,0.00675499467516285,0.00406648630317019,0.00954485604105761,0.00732006457978213,-0.0011761819492487,0.0034527862788691,-0.000539731781750977,21.3252171957356,60.014118233351,0.900708396237377,1,0,0,0
"X2005.03.17",1.927414,1.918907,1.925187,-0.00109738899248799,0.0128782349397862,1.91893863958976,1.91029454360558,0.00864409598418181,0.008914221889553,-0.000270125905371191,0.00880539676403619,0.00693490908554561,0.00424600040830791,0.0095313250885636,0.00777570246485442,-0.000952818327113492,-0.00387498060499247,-0.000354209432030545,21.1564937857076,58.6942430609637,0.738215587163516,0,1,0,0
